id,hautpflege_haeufigkeit,produkt_sonnenschutz,produkt_duschgel,produkt_seife,produkt_gesichtsreinigung,produkt_gesichtscreme,produkt_lotion,produkt_deo,produkt_bodyspray,medien_podcasts,medien_tv,medien_socialmedia,medien_internet,medien_print,nutzen_sensitiv,nutzen_duft,nutzen_medizinisch,nutzen_lfs,nutzen_reinigend,nutzen_feuchtigkeit,eigenschaft_nachhaltig,eigenschaft_natürlich,eigenschaft_vegan,eigenschaft_mikroplastik,eigenschaft_marke,eigenschaft_günstig,kauf_frequenz,kauf_budget,kauf_ort,ex_nutzen,ex_herstellung,anker,kauf,zahlungsbereitschaft,geschlecht,alter,erwerbsstatus,einkommen
1,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",2,4,4,6,5,1,4,4,5,4,5,5,seltener,0 Euro,Supermarkt,1,0,1,Nein,6,weiblich,18,Ausbildung,
2,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,5,4,6,4,5,4,4,4,4,6,6,einmal im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,1,0,Ja,23,weiblich,25,,4000
3,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",2,3,6,6,6,1,5,3,6,3,6,2,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,0,1,1,Nein,18,männlich,25,Sonstiges,
4,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig",,"ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",4,6,6,4,5,4,,5,5,4,,6,,weniger als 10 Euro,Supermarkt,0,1,0,Ja,18,männlich,21,,400
5,täglich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",3,4,5,4,6,4,5,5,4,5,4,3,mehrmals im Monat,100 Euro oder mehr,Apotheke oder spezialisierter Fachhandel,0,1,0,Ja,24,männlich,21,Erwerbstätigkeit,
6,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",4,6,6,6,6,4,6,4,6,6,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,14,weiblich,20,Studium,200
7,täglich,"ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig",4,5,5,6,4,3,4,6,5,4,,6,,25 Euro bis weniger als 50 Euro,Drogerien,1,0,0,Ja,23,weiblich,,Studium,
8,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig",4,6,6,6,6,3,6,6,6,6,5,6,einmal im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,0,0,0,Nein,6,weiblich,21,Studium,600
9,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,6,6,6,6,4,6,6,6,6,6,,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,0,Nein,9,weiblich,19,,200
10,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal",,"nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",,3,5,6,6,3,3,4,6,4,4,3,seltener,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,0,0,Ja,15,weiblich,24,Erwerbstätigkeit,2100
11,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",4,5,4,6,5,4,5,6,5,4,6,6,,10 Euro bis weniger als 25 Euro,Drogerien,0,0,1,Nein,11,männlich,,Studium,300
12,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,6,6,6,6,5,6,4,6,6,6,6,einmal im Monat,0 Euro,Supermarkt,0,0,0,Nein,1,männlich,23,Erwerbstätigkeit,
13,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,6,2,6,6,2,4,6,6,6,6,6,einmal im Monat,0 Euro,Supermarkt,0,1,1,Nein,18,männlich,26,Studium,600
14,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",4,6,4,6,4,3,6,6,4,3,3,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,1,Nein,18,männlich,23,Studium,400
15,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt",4,4,5,4,5,3,4,3,4,4,5,5,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,1,1,Nein,22,weiblich,24,Studium,300
16,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",4,4,4,5,4,3,6,4,4,6,6,6,einmal im Monat,,Drogerien,1,1,1,Ja,27,weiblich,24,Sonstiges,1800
17,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,4,4,4,4,4,4,4,3,3,5,4,einmal im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,1,Nein,17,weiblich,26,Studium,
18,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,5,4,5,5,3,4,3,5,4,4,5,mehrmals im Monat,,Supermarkt,0,0,1,,8,männlich,16,Ausbildung,700
19,täglich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig",4,4,4,3,3,4,,5,4,4,4,5,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,0,0,1,Nein,16,weiblich,22,Studium,500
20,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",4,4,3,4,4,3,5,5,4,2,4,3,wöchentlich,25 Euro bis weniger als 50 Euro,Online_Handel,0,0,1,Nein,11,männlich,20,Studium,
21,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt",,,4,5,4,5,4,4,4,6,4,5,5,4,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,1,1,1,Ja,32,weiblich,25,Studium,200
22,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",4,5,3,,6,2,6,5,5,3,5,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,0,Ja,,weiblich,23,Ausbildung,600
23,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",6,5,4,5,5,5,4,5,6,3,5,6,,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,1,1,Ja,28,weiblich,34,Studium,200
24,täglich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",3,6,5,4,4,3,6,4,5,4,6,4,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,0,0,0,Nein,9,weiblich,24,,
25,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal",,"ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,6,6,,6,5,6,6,4,6,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,1,Nein,19,weiblich,23,Erwerbstätigkeit,2000
26,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",3,5,6,5,5,3,5,4,5,4,,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,,32,männlich,26,Sonstiges,
